cat	time
ASSM	1:31:23
ASSM	1:32:29
ASSM	1:32:39
ASSM	1:34:29
ASSM	1:38:23
ASSM	1:38:40
ASSM	1:40:27
ASSM	1:40:32
VETM	1:40:48
ASSM	1:42:26
VETM	1:42:56
ASSM	1:43:27
VETM	1:45:15
VETM	1:45:35
VETM	1:46:29
ASSM	1:46:40
ASSM	1:47:38
VETM	1:50:05
VETM	1:50:35
VETM	1:51:44
ASSM	1:51:48
ASSM	1:53:10
ASSF	1:53:42
ASSM	1:53:57
ASSF	1:54:07
ASSM	1:54:33
VETM	1:54:34
VETM	1:56:23
ASSM	1:57:14
ASSM	1:57:44
VETM	1:57:56
ASSF	1:58:31
VETM	1:59:11
ASSF	2:00:14
VETM	2:00:23
ASSM	2:00:37
VETF	2:01:11
ASSM	2:01:21
ASSF	2:02:15
ASSM	2:03:34
ASSF	2:04:00
ASSM	2:04:03
VETF	2:04:37
ASSM	2:04:38
ASSF	2:04:59
VETM	2:05:28
VETM	2:06:39
VETM	2:06:53
ASSM	2:06:55
VETM	2:08:34
ASSM	2:08:39
ASSM	2:08:46
ASSM	2:08:50
ASSM	2:08:53
VETM	2:09:17
ASSM	2:09:17
VETF	2:09:31
ASSM	2:09:32
ASSF	2:09:42
VETM	2:10:24
ASSM	2:11:44
VETM	2:11:53
ASSM	2:12:34
ASSM	2:13:05
ASSF	2:13:11
ASSM	2:14:28
ASSF	2:14:34
VETM	2:14:36
ASSM	2:14:56
ASSM	2:15:03
ASSM	2:15:34
VETM	2:17:02
ASSM	2:17:22
VETM	2:17:37
ASSF	2:17:44
ASSM	2:17:54
VETM	2:18:19
ASSM	2:18:34
ASSF	2:18:37
VETM	2:18:42
VETM	2:18:46
VETF	2:18:48
ASSM	2:19:18
VETF	2:19:35
ASSM	2:19:39
VETM	2:19:49
ASSM	2:20:09
ASSM	2:20:50
VETM	2:21:36
ASSF	2:21:38
ASSF	2:21:58
ASSM	2:22:12
ASSM	2:22:19
ASSM	2:22:19
ASSM	2:22:19
VETM	2:23:20
ASSM	2:23:35
ASSM	2:24:29
ASSM	2:25:07
VETM	2:25:07
ASSF	2:25:10
ASSM	2:25:12
ASSF	2:25:12
VETF	2:25:15
ASSF	2:25:32
ASSM	2:25:35
VETM	2:25:36
ASSM	2:25:40
ASSM	2:25:49
VETF	2:25:53
ASSF	2:26:47
VETM	2:27:05
VETM	2:27:09
ASSM	2:27:28
ASSF	2:28:13
ASSF	2:28:13
VETM	2:28:15
ASSF	2:28:16
ASSM	2:28:23
VETF	2:28:34
ASSM	2:28:35
VETF	2:29:04
VETM	2:29:26
ASSF	2:29:32
ASSM	2:29:38
VETM	2:29:39
VETF	2:29:59
ASSM	2:30:05
ASSF	2:30:11
VETF	2:30:11
ASSM	2:30:54
ASSF	2:30:56
ASSF	2:30:57
VETM	2:31:26
ASSF	2:31:26
ASSF	2:31:27
ASSM	2:31:46
ASSF	2:31:46
VETF	2:31:53
ASSF	2:32:00
ASSF	2:32:25
ASSM	2:32:25
ASSM	2:32:31
ASSM	2:32:36
ASSF	2:32:56
VETM	2:33:09
ASSM	2:33:09
ASSF	2:33:09
ASSF	2:33:18
ASSF	2:33:42
ASSM	2:33:42
ASSM	2:33:53
VETM	2:34:18
VETM	2:34:32
ASSF	2:34:41
VETM	2:34:41
VETM	2:34:45
ASSM	2:34:53
VETM	2:34:53
ASSM	2:34:55
ASSM	2:36:59
VETF	2:37:19
ASSM	2:37:28
ASSM	2:37:48
ASSF	2:38:07
ASSF	2:38:22
ASSM	2:39:00
ASSM	2:39:01
ASSM	2:39:05
VETM	2:39:19
VETM	2:39:20
VETF	2:39:36
ASSF	2:39:37
VETM	2:39:37
ASSF	2:39:42
ASSM	2:39:42
VETF	2:40:01
ASSF	2:41:45
VETM	2:41:48
VETF	2:41:51
VETM	2:42:01
ASSF	2:42:04
ASSM	2:43:01
ASSF	2:43:32
ASSM	2:43:32
ASSM	2:43:36
ASSF	2:43:54
VETM	2:43:59
VETM	2:44:12
ASSM	2:44:31
ASSM	2:45:05
ASSM	2:45:06
ASSM	2:45:51
VETM	2:46:18
VETF	2:46:19
ASSF	2:47:36
ASSF	2:47:59
ASSM	2:47:59
ASSF	2:48:58
ASSM	2:49:02
VETM	2:49:02
VETM	2:49:14
ASSM	2:49:20
ASSF	2:50:01
ASSM	2:51:26
ASSF	2:51:49
VETM	2:51:53
VETM	2:52:31
VETF	2:52:31
VETM	2:52:37
VETM	2:53:02
ASSF	2:53:50
ASSM	2:54:29
ASSF	2:54:29
ASSF	2:54:36
ASSF	2:55:19
VETF	2:55:42
ASSF	2:55:58
VETF	2:56:09
VETF	2:57:22
VETF	2:57:22
VETM	2:57:42
VETF	2:58:28
VETM	2:59:07
ASSM	2:59:10
ASSF	2:59:15
ASSF	3:00:35
VETM	3:00:35
VETM	3:01:03
ASSF	3:01:12
ASSM	3:01:13
ASSM	3:01:16
ASSF	3:01:17
ASSF	3:01:29
VETM	3:02:30
ASSM	3:02:30
VETF	3:02:46
ASSM	3:03:37
ASSF	3:04:45
ASSF	3:05:42
ASSF	3:06:21
ASSF	3:06:35
VETM	3:10:11
VETM	3:11:54
VETF	3:13:00
ASSF	3:13:10
ASSF	3:14:19
ASSM	3:15:42
ASSF	3:17:06
VETM	3:17:34
VETF	3:17:41
VETF	3:18:11
ASSF	3:18:15
ASSF	3:18:16
VETF	3:18:36
ASSF	3:18:40
VETF	3:23:20
ASSF	3:24:15
ASSF	3:25:44
ASSF	3:26:11
ASSF	3:26:51
VETF	3:28:30
ASSF	3:32:08
VETM	3:32:08
ASSF	3:37:07
ASSF	3:41:47
VETF	3:42:28
ASSF	3:43:06
VETF	3:46:39
VETF	3:53:59
VETF	3:54:21
VETF	3:54:23
ASSF	3:56:15
ASSF	3:56:16
ASSF	3:56:17
VETM	3:56:19
VETF	4:00:24
ASSF	4:00:25
ASSF	4:03:11
ASSF	4:04:52
ASSF	4:05:31
